date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-15,18:00:00,-448.3056837613694,844.7658407512041,-555.6462855786085,765.2949878746913,177.6087528654471,57.654739548645,10.0,10.0,177.07614253611442,48.998938765844784,10.0,10.0
2020-01-16,00:00:00,-439.6584158139303,849.6268953727222,-534.1500489120372,772.671984174935,176.26263364094268,57.7205965213085,10.0,10.0,175.4858395382544,49.85306025341279,10.0,10.0
2020-01-16,06:00:00,-423.1401836087462,851.8461479738032,-513.6895281721372,782.8611959194426,174.79878910336825,58.19936292428547,10.0,10.0,173.76584077208977,50.80782716123767,10.0,10.0
2020-01-16,12:00:00,-407.64788925577886,856.1447687748248,-490.79512345837435,793.3896284299337,173.38394600960285,58.656135584788856,10.0,10.0,172.45061905699237,51.76731080927106,10.0,10.0
2020-01-16,18:00:00,-392.0761924346443,865.0194303156172,-468.1598360149656,809.7114492168722,171.79784142133508,59.311694958679674,10.0,10.0,171.02808895209097,52.9615676553516,10.0,10.0
2020-01-17,00:00:00,-374.4653561098967,877.0982508131402,-448.00867415103136,825.5352435333067,169.5105035426574,60.462436296236746,10.0,10.0,168.37942772808054,54.489832489091604,10.0,10.0
2020-01-17,06:00:00,-351.1308888234198,888.7916759536099,-435.2198634541128,832.9792372326853,165.94543658807908,62.47720674175337,10.0,10.0,164.85156597679912,55.63736746376469,10.0,10.0
2020-01-17,12:00:00,-358.82007977901964,894.464469214992,-432.56304205418564,843.0315848450957,160.3596540950335,62.888292235415875,10.0,10.0,161.16499719345939,56.2865770315356,10.0,10.0
2020-01-17,18:00:00,-361.3850420804229,897.0343996760022,-422.54031809838483,844.5004778646362,155.862819227782,63.16721760911669,10.0,10.0,157.7971709180394,56.99705017566229,10.0,10.0
2020-01-18,00:00:00,-354.90458446484985,895.2340848679758,-414.31648773048073,851.290038535092,151.09446249330975,63.980934125014144,10.0,10.0,155.28661978825423,57.43758200599622,10.0,10.0
2020-01-18,06:00:00,-359.0208520756569,896.4856387972779,-402.33176035573706,855.1922948576132,146.3734089252479,64.14396484368771,10.0,10.0,152.12269028874297,58.28894277878135,10.0,10.0
2020-01-18,12:00:00,-361.87439447478386,896.6616963164423,-397.9728723056615,859.857103413163,142.168458825291,64.20818674420578,10.0,10.0,149.22478403858406,58.56457328014965,10.0,10.0
2020-01-18,18:00:00,-363.2183060578536,899.9395063544832,-391.3617160685826,864.1695196041794,137.4359106871616,64.57022954658767,10.0,10.0,146.88456558962454,58.75883585831434,10.0,10.0
2020-01-19,00:00:00,-371.52538109757006,899.2181664429521,-380.9853532225825,864.3677596789016,132.20542877794944,64.49632609874213,10.0,10.0,144.46577550758332,59.11239717320127,10.0,10.0
2020-01-19,06:00:00,-381.15380403748713,898.4149922173334,-2138.013683278812,177.19592035755642,127.2642148506069,64.25795690893996,10.0,10.0,130.88839831418662,1.6272067611757401,10.0,10.0
2020-01-19,12:00:00,-386.12441477458924,891.0591968986405,-746.3499877052382,-603.3810855476523,122.16719619649444,64.1481340102589,10.0,10.0,107.44461765019574,-39.14045261008171,10.0,10.0
2020-01-19,18:00:00,-2131.965059738141,154.97793331826125,-787.2910491477232,-537.6047189194513,124.92251895880871,1.0293620509240768,10.0,10.0,106.4841345214341,-34.5218037542352,10.0,10.0
2020-01-20,00:00:00,-2118.6502265327144,175.9816093501413,-786.8212520533708,-525.472595340658,121.99794792211145,1.4851976662008313,10.0,10.0,105.74009431778828,-33.817283401863484,10.0,10.0
2020-01-20,06:00:00,-764.8327704898547,-544.2661996207585,-782.0666504246183,-516.9041182630095,105.16107799777546,-35.2533383440279,10.0,10.0,105.28384422456423,-33.35037279876295,10.0,10.0
2020-01-20,12:00:00,-757.7921069189906,-532.3241941905001,-765.1245427082757,-506.1068680087858,104.84222126643732,-34.622433673596966,10.0,10.0,104.93743102372663,-33.09226523073546,10.0,10.0
2020-01-20,18:00:00,-740.5399615215139,-518.667411377927,-755.923113421537,-493.87259872523583,104.4065208331075,-34.19500041682942,10.0,10.0,104.9208102297775,-32.39671616873322,10.0,10.0
2020-01-21,00:00:00,-732.2443630762863,-515.8242240513923,-786.7123875471298,-413.83078923146485,103.90183764312894,-33.93000626883131,10.0,10.0,102.793082161063,-27.25999469896688,10.0,10.0
2020-01-21,06:00:00,-709.1671457651538,-506.6191975370185,-843.4487660990562,-341.1243141939408,103.50233448296746,-33.77938715383123,10.0,10.0,96.40201155753188,-22.271658751641045,10.0,10.0
2020-01-21,12:00:00,-695.0105824647471,-503.5915999259549,-824.9046696475708,-327.1714961483125,102.98353528680373,-33.57652644790373,10.0,10.0,96.27857185184172,-21.706735706989043,10.0,10.0
2020-01-21,18:00:00,-672.4532611570321,-499.8070462493173,-803.337370893918,-323.3887320617247,102.561795007605,-33.54578176017507,10.0,10.0,95.8021398891352,-21.734366743465973,10.0,10.0
2020-01-22,00:00:00,-641.4300620891154,-496.14734529218987,-789.7548737472389,-329.985021637933,102.27693432697416,-33.7332398112705,10.0,10.0,93.7819773835257,-22.27519859009325,10.0,10.0
2020-01-22,06:00:00,-619.1631441828795,-499.4210855272757,-771.5377334658988,-328.66885982484587,101.74734511963837,-33.934605355097816,10.0,10.0,93.13255734413215,-22.316016565830488,10.0,10.0
2020-01-22,12:00:00,-589.3607541848905,-505.0546888409527,-746.0274212989025,-326.0753552110123,101.24510510254528,-34.47446710210692,10.0,10.0,92.51325417383384,-22.40975154501361,10.0,10.0
2020-01-22,18:00:00,-553.5897483990993,-514.5670168368332,-719.5828882844652,-324.6110724577711,100.74939348088549,-35.40321896252426,10.0,10.0,92.09084750531923,-22.512212593764033,10.0,10.0
2020-01-23,00:00:00,-507.37859072349966,-550.5296168442746,-686.8439531952607,-323.8124537952465,100.19491976712686,-38.07479980491664,10.0,10.0,91.82330625136714,-22.72684184584929,10.0,10.0
2020-01-23,06:00:00,-497.2048791632988,-649.9065305061555,-661.3924678508192,-362.50884687046585,91.44756749181252,-45.403151185176476,10.0,10.0,89.78151059804405,-25.224317218694786,10.0,10.0
2020-01-23,12:00:00,-493.1182549528312,-654.1346992587398,-634.1664845631458,-386.87230011122114,88.95865003270781,-45.47042314902101,10.0,10.0,88.29783564301752,-26.868474153828675,10.0,10.0
2020-01-23,18:00:00,-472.05889708804904,-652.0444370744449,-597.519938782556,-457.88379354048067,87.70500960069657,-45.66042828477497,10.0,10.0,85.97020057743806,-31.482809602579565,10.0,10.0
2020-01-24,00:00:00,-450.8403783722315,-654.6516518563917,-562.497405848233,-462.11398703304,86.55462611629935,-45.979817244716656,10.0,10.0,85.38911944461455,-32.090341111107314,10.0,10.0
2020-01-24,06:00:00,-428.76739386678673,-659.4084169211874,-551.8604260953143,-504.36419164554786,85.37705156102885,-46.42384013976291,10.0,10.0,81.63627681871615,-34.80195489666845,10.0,10.0
2020-01-24,12:00:00,-397.21715971524833,-664.7367395085038,-583.255757154664,-493.4873780235466,84.68611538848162,-47.20470378894744,10.0,10.0,75.82566077117652,-33.928889211318086,10.0,10.0
2020-01-24,18:00:00,-364.0768546517937,-676.2496806704312,-553.8382282089442,-482.68820209831426,84.1061379706875,-48.275944440249155,10.0,10.0,75.26605477058467,-33.602327673555514,10.0,10.0
2020-01-25,00:00:00,-331.04115899861785,-689.8084084945648,-525.6666084360331,-482.32145623873015,83.5332100838195,-49.42306909545676,10.0,10.0,74.69031823235397,-33.68044317501603,10.0,10.0
2020-01-25,06:00:00,-298.3373179978225,-703.108216057205,-536.9519527077209,-496.5845597545988,83.08662118444995,-50.44674929610765,10.0,10.0,70.03685607944125,-34.476666946730425,10.0,10.0
2020-01-25,12:00:00,-248.43644366599617,-726.3417845922243,-508.1213500786107,-491.76800553527886,83.32354637098919,-52.922400713252365,10.0,10.0,69.48852442649414,-34.33075469191856,10.0,10.0
2020-01-25,18:00:00,-197.18677517818287,-779.7470777858243,-471.23131186887616,-486.1872347666012,82.54921838688641,-58.0183408373081,10.0,10.0,69.23265648159139,-34.3245920614056,10.0,10.0
2020-01-26,00:00:00,-175.30641400697638,-793.7701813621359,-440.10302581964066,-483.63847410057673,80.96642159313393,-59.477604249166724,10.0,10.0,68.95141493157898,-34.11227299382766,10.0,10.0
2020-01-26,06:00:00,-159.23546420037746,-799.3849320261737,-401.46537281060586,-480.09445728993364,79.6687172763144,-59.63764388071423,10.0,10.0,68.76140128014008,-34.11134933980902,10.0,10.0
2020-01-26,12:00:00,-134.0384666309692,-801.0799819108048,-359.83843066543335,-477.3887800298143,79.21272903314419,-60.011499052439916,10.0,10.0,68.72388824595053,-34.14929680145171,10.0,10.0
2020-01-26,18:00:00,-104.67351531377062,-799.711679490893,-315.30281321005896,-475.46521065460297,79.38894632596694,-60.121295677566394,10.0,10.0,68.82684300233646,-34.22671882836588,10.0,10.0
2020-01-27,00:00:00,-70.46065398305655,-795.0382452497913,-273.4513343104627,-475.9272776229727,80.19515250641076,-59.96128100631858,10.0,10.0,68.890926923753,-34.14994803939075,10.0,10.0
2020-01-27,06:00:00,-33.564424959011376,-785.0943604638866,-224.1079954858869,-475.8596832186772,81.4051380658357,-58.72762138222365,10.0,10.0,69.195103873771,-34.29593014457054,10.0,10.0
2020-01-27,12:00:00,11.358007073570421,-758.0402167802148,-174.49151030322537,-477.1453972513863,83.09367145175669,-56.41125770380614,10.0,10.0,69.512383804788,-34.4234678596287,10.0,10.0
2020-01-27,18:00:00,49.494833358110654,-697.7861732998596,-119.51891426229851,-478.55599780001563,83.17652119363599,-50.866402412695805,10.0,10.0,70.11237985152596,-34.67083167089799,10.0,10.0
2020-01-28,00:00:00,92.24954886584676,-679.656963603007,-9.391611579805614,-468.43091405329085,83.66210828394125,-49.572966887485144,10.0,10.0,74.64958432585671,-34.041406353127925,10.0,10.0
2020-01-28,06:00:00,140.1608691597744,-661.6002647090464,48.598126944197844,-467.56461636709787,84.39360397903684,-48.088183097759675,10.0,10.0,75.43896031169946,-34.08126726732752,10.0,10.0
2020-01-28,12:00:00,192.0510730914121,-649.2781413412598,132.62938067479132,-528.6046063369215,85.2965211775514,-46.798544958944795,10.0,10.0,78.6426625896467,-38.249379492175315,10.0,10.0
2020-01-28,18:00:00,250.62218891132758,-637.4185011324283,282.926040042057,-445.2866012868296,87.10401396425871,-46.04353541563074,10.0,10.0,85.44420757470289,-32.437004143007776,10.0,10.0
2020-01-29,00:00:00,306.02163622131445,-639.1045805027535,337.67039107628534,-438.5269441943908,88.55198116975981,-45.67263080094125,10.0,10.0,86.11608473571671,-31.895097632353462,10.0,10.0
2020-01-29,06:00:00,374.52961926471664,-639.4167932591512,397.8347176233895,-433.97739269789724,91.76990286832235,-45.492131117623615,10.0,10.0,87.03555105570244,-31.252732195603727,10.0,10.0
2020-01-29,12:00:00,549.5318516599364,-534.3576956218006,494.0249525838591,-354.86227807887497,100.41895273085026,-37.28032633004968,10.0,10.0,89.40005373481077,-25.93127089933641,10.0,10.0
2020-01-29,18:00:00,602.6222918637461,-508.749618844453,577.8458225118877,-319.00756876362425,101.15361009754602,-35.229457583492,10.0,10.0,92.112877579502,-23.442435274741197,10.0,10.0
2020-01-30,00:00:00,646.1378327205513,-505.7921124806698,623.674424908984,-317.9577498459525,101.7862158229667,-34.547964974136555,10.0,10.0,92.94390134899872,-23.22967225320382,10.0,10.0
2020-01-30,06:00:00,677.0294063627782,-503.0311029151087,670.2720387080471,-324.8530921175603,102.47612816667727,-34.25368450365658,10.0,10.0,94.039464783812,-23.3688022179052,10.0,10.0
2020-01-30,12:00:00,705.9567465996747,-506.38038327883385,722.9872929035434,-486.85427990951246,103.04804961537657,-34.17175061288617,10.0,10.0,104.13273090805464,-32.81706048197761,10.0,10.0
2020-01-30,18:00:00,732.7353662610217,-513.9334461814875,744.1900540334981,-495.9676352669262,103.4906792667928,-34.23011380885451,10.0,10.0,104.04923599328926,-33.047341150356196,10.0,10.0
2020-01-31,00:00:00,751.4008053991632,-519.0032098591295,766.3709508366853,-503.82186949764366,103.9684910079642,-34.333375024828364,10.0,10.0,104.22058652269077,-33.127870491100744,10.0,10.0
2020-01-31,06:00:00,767.27946985528,-526.1947616566126,782.2394732422702,-510.82155716173247,104.31913314686594,-34.50343981141955,10.0,10.0,104.50604803212698,-33.281589701608766,10.0,10.0
2020-01-31,12:00:00,780.4591551701245,-535.0077280570514,789.2040346040263,-514.924916678997,104.59569653861288,-34.72706556485158,10.0,10.0,104.7761162233114,-33.472264316531515,10.0,10.0
