date,time,lon,lat,elon,elat,HP-Tx,HP-Ty
2021-11-18,15:39:38.244559,337.9850701464101,-27.062368500488873,0.0,0.0,-234.52048678020947,-477.04750605766776
2021-11-18,21:39:38.244559,337.72466496713054,-27.026160610876037,0.0,0.0,-189.49003875185736,-474.9528669973718
2021-11-19,03:39:38.244559,337.60152113892605,-27.03937409641527,0.0,0.0,-142.20619095792063,-473.83099947393384
2021-11-19,09:39:38.244559,337.87304219568426,-26.993743121236626,0.0,0.0,-89.80675721843727,-476.4776597122839
2021-11-19,15:39:38.244559,338.1619181213146,-27.1488080514108,0.0,0.0,-35.63964533130638,-478.36286063138664
2021-11-19,21:39:38.244559,338.5890616237086,-27.55224479904541,0.0,0.0,20.409743545339463,-480.97300408684316
2021-11-20,03:39:38.244559,340.17525331522353,-28.0403955687681,0.0,0.0,93.50724521743675,-490.8021613340827
2021-11-20,09:39:38.244559,342.96336546492154,-28.78272649551417,0.0,0.0,181.63353489206943,-498.9593908446763
2021-11-20,15:39:38.244559,350.03115824919104,-28.77141696245863,0.0,0.0,328.01674958887617,-496.33538148771817
2021-11-20,21:39:38.244559,31.878918417376504,-37.77951739652981,0.0,0.0,705.4567454025325,-600.7787383906568
2021-11-21,03:39:38.244559,43.728877712568256,-28.435012824870935,0.0,0.0,845.304464173875,-464.70384038061536
2021-11-21,09:39:38.244559,50.41474446034295,-24.751063852813438,0.0,0.0,nan,nan
2021-11-21,15:39:38.244559,51.326196420028516,-24.65241791807096,0.0,0.0,nan,nan
2021-11-21,21:39:38.244559,92.21147792471785,-26.375051774962284,0.0,0.0,nan,nan
2021-11-22,03:39:38.244559,92.56732402388184,-26.319922112832526,0.0,0.0,nan,nan
2021-11-22,09:39:38.244559,112.12797035357251,-23.146775433308775,0.0,0.0,nan,nan
2021-11-22,15:39:38.244559,113.12949822571133,-21.82413036091541,0.0,0.0,nan,nan
2021-11-22,21:39:38.244559,113.75348405863868,-19.31518145066079,0.0,0.0,nan,nan
2021-11-23,03:39:38.244559,114.9269430583627,-18.577846289232408,0.0,0.0,nan,nan
2021-11-23,09:39:38.244559,115.71062840580684,-19.09997583546166,0.0,0.0,nan,nan
2021-11-23,15:39:38.244559,116.28771087922408,-19.292795524467973,0.0,0.0,nan,nan
2021-11-23,21:39:38.244559,116.46582530440716,-19.256892332363922,0.0,0.0,nan,nan
2021-11-24,03:39:38.244559,116.54413356004062,-19.215868099588427,0.0,0.0,nan,nan
2021-11-24,09:39:38.244559,116.55051246334423,-19.180565872463763,0.0,0.0,nan,nan
