date,time,lon,lat,jd,elon,elat
2021-11-25,22:28:33.599986,109.913,-25.1672,2.45954e+06,10,10
2021-11-26,03:02:18.240007,109.429,-25.5662,2.45954e+06,10,10
2021-11-26,04:02:47.039998,109.294,-26.0008,2.45954e+06,10,10
2021-11-26,10:08:32.640014,108.651,-26.5148,2.45954e+06,10,10
2021-11-26,12:04:36.480013,108.532,-27.5705,2.45955e+06,10,10
2021-11-26,12:27:21.599987,96.4235,-26.9491,2.45955e+06,10,10
2021-11-26,12:59:11.040003,96.1523,-26.7345,2.45955e+06,10,10
2021-11-26,15:06:54.720020,95.6411,-26.6256,2.45955e+06,10,10
2021-11-26,16:46:24.960017,108.532,-27.5705,2.45955e+06,10,10
2021-11-26,16:55:12.000006,96.4235,-26.9491,2.45955e+06,10,10
2021-11-26,17:14:38.399996,96.1523,-26.7345,2.45955e+06,10,10
2021-11-26,19:24:48.960005,95.6411,-26.6256,2.45955e+06,10,10
2021-11-26,21:42:20.159990,95.7384,-26.5486,2.45955e+06,10,10
2021-11-26,23:33:04.320009,95.4191,-26.508,2.45955e+06,10,10
2021-11-27,01:09:07.199996,95.1516,-26.4833,2.45955e+06,10,10
2021-11-27,03:30:23.040001,95.331,-26.4323,2.45955e+06,10,10
2021-11-27,05:02:23.999997,95.1075,-26.4216,2.45955e+06,10,10
2021-11-27,07:28:24.960001,95.3191,-26.3706,2.45955e+06,10,10
2021-11-27,09:00:25.919996,95.1246,-26.3668,2.45955e+06,10,10
2021-11-27,10:29:08.160008,94.9459,-26.3661,2.45955e+06,10,10
2021-11-27,11:56:15.360020,94.7832,-26.3677,2.45955e+06,10,10
2021-11-27,14:31:46.559980,95.0078,-26.3145,2.45955e+06,10,10
2021-11-27,16:00:46.080002,94.8606,-26.3173,2.45955e+06,10,10
2021-11-27,17:40:07.680014,95.0078,-26.3145,2.45955e+06,10,10
2021-11-27,19:06:48.959989,94.8606,-26.3173,2.45955e+06,10,10
2021-11-27,20:22:33.599994,94.6838,-26.3317,2.45955e+06,10,10
2021-11-27,21:50:15.359987,94.5633,-26.3353,2.45955e+06,10,10
2021-11-28,00:38:00.959988,94.802,-26.2769,2.45955e+06,10,10
2021-11-28,02:07:00.480010,94.6901,-26.2803,2.45955e+06,10,10
2021-11-28,03:37:00.480010,94.5884,-26.2833,2.45955e+06,10,10
2021-11-28,05:09:53.279998,94.5021,-26.285,2.45955e+06,10,10
2021-11-28,06:45:47.520000,94.4299,-26.2855,2.45955e+06,10,10
2021-11-28,08:22:16.319983,94.3621,-26.2852,2.45955e+06,10,10
2021-11-28,10:00:11.519980,94.3015,-26.284,2.45955e+06,10,10
2021-11-28,11:39:50.400003,94.2488,-26.2816,2.45955e+06,10,10
2021-11-28,13:21:56.160017,94.2074,-26.2776,2.45955e+06,10,10
2021-11-28,15:07:55.199997,94.1844,-26.2707,2.45955e+06,10,10
2021-11-28,17:10:45.119990,94.1405,-26.2744,2.45955e+06,10,10
2021-11-28,18:57:10.080007,94.1411,-26.2634,2.45955e+06,10,10
2021-11-28,20:38:58.560010,94.1511,-26.2499,2.45955e+06,10,10
2021-11-29,00:30:23.040001,93.8779,-26.3021,2.45955e+06,10,10
2021-11-29,02:00:57.599983,93.9165,-26.284,2.45955e+06,10,10
2021-11-29,03:23:11.040011,93.9728,-26.2623,2.45955e+06,10,10
2021-11-29,06:35:59.999992,93.7803,-26.3032,2.45955e+06,10,10
2021-11-29,07:39:56.159993,93.8837,-26.2739,2.45955e+06,10,10
2021-11-29,10:30:08.639985,93.7418,-26.3054,2.45955e+06,10,10
