date,date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-02-14,2020-02-14,00:00:00,nan,nan,nan,nan,10.547779192849683,-57.1835648866999,0.0,0.0,18.78536588268455,24.80070625336366,0.0,0.0
2020-02-15,2020-02-15,00:00:00,nan,nan,nan,nan,359.2753741135535,-32.543317504439806,0.0,0.0,18.250088398595132,24.839994906259,0.0,0.0
2020-02-16,2020-02-16,00:00:00,nan,nan,nan,nan,355.9723882812797,-32.27714126941984,0.0,0.0,17.766746345815452,26.81032675414302,0.0,0.0
2020-02-17,2020-02-17,00:00:00,nan,nan,nan,nan,352.8031160728158,-32.134175035819894,0.0,0.0,0.07584512683525695,59.45022362484206,0.0,0.0
2020-02-18,2020-02-18,00:00:00,nan,nan,nan,nan,350.45379720377014,-32.41518406800797,0.0,0.0,331.5128968446219,59.63777232306808,0.0,0.0
2020-02-19,2020-02-19,00:00:00,nan,nan,nan,nan,349.0373895884482,-32.709736842632665,0.0,0.0,317.48748350408886,49.9371813432301,0.0,0.0
2020-02-20,2020-02-20,00:00:00,nan,nan,nan,nan,348.4127126862491,-35.693905275973634,0.0,0.0,303.12914270488625,31.645434959523506,0.0,0.0
2020-02-21,2020-02-21,00:00:00,nan,nan,nan,nan,309.5517303763294,1.9293986319320025,0.0,0.0,297.4361525793936,24.667969985556578,0.0,0.0
2020-02-22,2020-02-22,00:00:00,nan,nan,nan,nan,299.31996438468946,59.89464568380278,0.0,0.0,291.64997413535707,21.06927984951608,0.0,0.0
2020-02-23,2020-02-23,00:00:00,nan,nan,nan,nan,293.9578455675045,63.046225996823985,0.0,0.0,287.4545114151226,20.77938551720448,0.0,0.0
2020-02-24,2020-02-24,00:00:00,nan,nan,nan,nan,277.8212664626061,63.73186815792538,0.0,0.0,281.7248921395198,23.466247871651287,0.0,0.0
2020-02-25,2020-02-25,00:00:00,nan,nan,nan,nan,264.59476380433085,63.73091793660418,0.0,0.0,272.7294188972748,28.747251823502666,0.0,0.0
2020-02-26,2020-02-26,00:00:00,nan,nan,nan,nan,247.8433940744353,63.99704107610488,0.0,0.0,248.8758511385686,2.2496866593633955,0.0,0.0
2020-02-27,2020-02-27,00:00:00,nan,nan,nan,nan,229.95714500134613,62.76448800625275,0.0,0.0,221.34680196891358,-23.382285068528123,0.0,0.0
